Key,Language,Translation
FEATURE_UNDER_MAINTENANCE,en,This feature is currently under maintenance. Please try again later.
FEATURE_UNDER_MAINTENANCE,es,"Esta función está actualmente en mantenimiento. Por favor, inténtalo más tarde. "
FEATURE_UNDER_MAINTENANCE,he,פיצ'ר זה כרגע בתחזוקה. נא לנסות שוב מאוחר יותר.
FEATURE_UNDER_MAINTENANCE,yi,"דער פיטשער איז יעצט ריפערד. ביטע, פרעביר שפעטער."
FEATURE_UNDER_MAINTENANCE,fr,Cette fonctionnalité est actuellement en maintenance. Veuillez réessayer plus tard.
WA_ABOUT_MSG,en,"This bot was built with the aim of making the content of the hebrewbooks.org website accessible via WhatsApp.

An improved version of the bot is also available on Telegram: t.me/hebooksbot

The bot was built using the pywa library github.com/david-lev/pywa"
WA_ABOUT_MSG,es,"Este bot fue creado con el objetivo de hacer accesible el contenido del sitio web hebrewbooks.org a través de WhatsApp.

Una versión mejorada del bot también está disponible en Telegram: t.me/hebooksbot

El bot fue construido usando la biblioteca pywa github.com/david-lev/pywa
"
WA_ABOUT_MSG,he,"*בוט זה נבנה במטרה להנגיש את תוכן אתר hebrewbooks.org באמצעות וואטסאפ.*


גרסה משופרת של הבוט קיימת גם בטלגרם: t.me/hebooksbot

הבוט נבנה באמצעות ספריית pywa github.com/david-lev/pywa"
WA_ABOUT_MSG,yi,"*דער באָט איז געמאכט געווארען מיט דער ציל צו מאכן די אינהאַלט פון די hebrewbooks.org וועבסייט אבעילאביל דורך וואצאפ.*


א פרישע ווערסיע פון ​​די באט איז אויך בנימצא אויף טעלעגראם: t.me/hebooksbot"
WA_ABOUT_MSG,fr,"Ce bot a été construit dans le but de rendre le contenu du site hebrewbooks.org accessible via WhatsApp.
 

 Une version améliorée du bot est également disponible sur Telegram : t.me/hebooksbot
 

 Le bot a été construit à l'aide de la bibliothèque pywa github.com/david-lev/pywa"
WA_WELCOME_BODY,en,"This bot allows searching and browsing books on hebrewbooks.org

*⚡️ Features:*
🔎 Searching for books by sending a message
📖 Reading mode as an image or as a PDF (text coming soon)
⏩ Jump to page
♻️ Sharing books with friends

*💡 Tips:*
• To search for a book by title or author, use the format ```title:author```
• You can jump to a page by replying to book with the page number

*🔜 Coming soon:*
• Browse the library by category, date or letter
• Browsing through the Shas masechtot
• Search the contents of the books
• Saving favorite books and bookmarks
• Change language manually
"
WA_WELCOME_BODY,es,"Este bot te permite buscar y explorar libros en hebrewbooks.org
⚡️ Características: 
🔎 Buscar libros enviando un mensaje 
📖 Modo de lectura como imagen o como PDF (texto próximamente) 
⏩ Saltar a la página 
♻️ Compartir libros con amigos
💡 Consejos: 
• Para buscar un libro por título o autor, usa el formato título:autor 
• Puedes saltar a una página respondiendo al libro con el número de página
🔜 Próximamente: 
• Navegar por la biblioteca por categoría, fecha o letra 
• Explorar los masechtot del Shas 
• Buscar el contenido de los libros 
• Guardar libros favoritos y marcadores 
• Cambiar el idioma manualmente 
"
WA_WELCOME_BODY,he,"בוט זה מאפשר לחפש ולעיין בספרים באתר hebrewbooks.org

*⚡️ פיצ'רים:*
🔎 חיפוש ספרים על ידי שליחת הודעה
📖 מצב קריאה כתמונה או כקובץ PDF (טקסט בקרוב)
⏪ קפיצה לעמוד
♻️ שיתוף ספרים עם חברים

*💡 טיפים:*
• כדי לחפש ספר לפי כותרת או מחבר, השתמשו בפורמט ```כותרת:מחבר```
• כדי לקפוץ לדף מסוים, הגיבו על הספר עם מספר דף

*🔜 בקרוב:*
• עיון בספריה לפי קטגוריה, תאריך או אות
• עיון במסכתות הש""ס
• חיפוש בתוכן הספרים
• שמירת ספרים מועדפים וסימניות
• שינוי שפה באופן ידני
"
WA_WELCOME_BODY,yi,"**📚 ברוכים הבאים צו דער היברובוקס באט אויף טעלעגראַם! 📚**

דער באט ערלויבט סערטשין און בראויזין ביכער אויף hebrewbooks.org

**⚡️פיטשערס:**
🔎סערטשט ביכער דורך אינליין מאויד אדער דורך שיקען א מעסעדזש
 📓 בראויזט אדורך דער מסכתות אין ש''ס
📚 בראויז דער אוצר לויט די קאטעגארי, דאטום, אדער אות
 📖 ליינען מאויד ווי א בילד אדער ווי א PDF (טעקסט קומט באלד) 
 ⏪ היפט צו דער בלאט
 ♻️ שער ביכער מיט חברים

*💡 עצות:*
• כדי צו סערטשין פאר א ביך לויט דער טיטעל אדער א מחבר, נוץ דער פארמאט 'title: author'     
• אין ליינען מאויד, מען קען היפען צו א בלאט דורך ענטפערין דעם מעסעדזש מיט דער בלאט נאמבער

**🔜 קומט באלד:**
        • סערטש דער אינהאלט פון דער ביכער
        • שפארט דער באליבסטע ביכער און בוקמארקס
        • טויש דער שפראך מאניואלי

__🕯 לעילוי נשמת מיין זיידע, הרב אהרן יצחק בן שמואל זנוויל ז""ל  🕯__"
WA_WELCOME_BODY,fr,"Ce bot permet de rechercher et de parcourir des livres sur hebrewbooks.org
 

 *?? Caractéristiques:*
 ?? Rechercher des livres en envoyant un message
 ?? Mode lecture sous forme d'image ou sous forme de PDF (texte à venir)
 ? Aller à la page
 ?? Partager des livres avec des amis
 

 *?? Conseils:*
 • Pour rechercher un livre par titre ou par auteur, utilisez le format ```titre:auteur```
 • Vous pouvez accéder à une page en répondant au livre avec le numéro de page.
 

 *?? À venir:*
 • Parcourez la bibliothèque par catégorie, date ou lettre
 • Parcourir le masechtot du Shas
 • Rechercher dans le contenu des livres
 • Enregistrer vos livres et signets préférés
 • Changer la langue manuellement"
WA_WELCOME_HEADER,en,"📚 Welcome to the HebrewBook bot on WhatsApp! 📚"
WA_WELCOME_HEADER,es,📚 Bienvenido al bot de HebrewBook en WhatsApp! 📚
WA_WELCOME_HEADER,he,"📚 ברוכים הבאים לבוט היברובוקס בוואטסאפ! 📚"
WA_WELCOME_HEADER,yi,ברוכים הבאים צו דער היברובוקס באט אויף וואצאפ! 
WA_WELCOME_HEADER,fr,?? Bienvenue sur le bot HebrewBook
WAIT_FOR_PREVIEW,en,Wait a few seconds for the preview to load
WAIT_FOR_PREVIEW,es,Espera unos segundos para que se cargue la vista previa 
WAIT_FOR_PREVIEW,he,יש להמתין מספר שניות לטעינת התצוגה המקדימה
WAIT_FOR_PREVIEW,yi,ווארט א פאר סקונדערס פאר די פריוויו צו לאדין
WAIT_FOR_PREVIEW,fr,Attendez quelques secondes que l'aperçu se charge
WAIT_X_MINUTES,en,You need to wait {x} minutes before getting the book/page.
WAIT_X_MINUTES,es,Necesitas esperar {x} minutos antes de obtener el libro/página. 
WAIT_X_MINUTES,he,עליכם להמתין {x} דקות לפני שתוכלו לקבל את הספר/עמוד.
WAIT_X_MINUTES,yi,איר דארפט ווארטען {x} מינוטען בעפאר איר קענט באקומען דער ספר/בלאט.
WAIT_X_MINUTES,fr,Vous devez attendre {x} minutes avant d'obtenir le livre/la page.
WAIT_X_SECONDS,en,You need to wait {x} seconds before getting the book/page.
WAIT_X_SECONDS,es,Necesitas esperar {x} segundos antes de obtener el libro/página. 
WAIT_X_SECONDS,he,עליכם להמתין {x} שניות לפני שתוכלו לקבל את הספר/עמוד.
WAIT_X_SECONDS,yi,איר דארפט ווארטען {x} סקונדער בעפאר איר קענט באקומען דער ספר/בלאט.
WAIT_X_SECONDS,fr,Vous devez attendre {x} secondes avant d'obtenir le livre/la page.
X_IS_UPLOADED,en,The book {x} is uploaded
X_IS_UPLOADED,es,El libro {x} está subido 
X_IS_UPLOADED,he,הספר {x} בתהליך העלאה
X_IS_UPLOADED,yi,דער ביך {x} איז אפלאדעד
X_IS_UPLOADED,fr,Le livre {x} est téléchargé
X_RESULTS_FOR_S,fr,"{x :,} résultats pour : {s}"
X_RESULTS_FOR_S,en,"{x:,} results for: {s}"
X_RESULTS_FOR_S,es,"{x:,} resultados para: {s} "
X_RESULTS_FOR_S,he,"‏{x:,} תוצאות עבור: {s}"
X_RESULTS_FOR_S,yi,"{x:,} תוצאות פאר: {s}"
X_TO_Y_OF_TOTAL,en,"{x:,} - {y:,} from {total:,} results"
X_TO_Y_OF_TOTAL,es,"{x:,} - {y:,} de {total:,} resultados "
X_TO_Y_OF_TOTAL,he,"‏{x:,} - {y:,} מתוך {total:,} תוצאות"
X_TO_Y_OF_TOTAL,yi,"{x:,} - {y:,} פון {total:,} תוצאות"
X_TO_Y_OF_TOTAL,fr,"{x:,} - {y:,} sur {total:,} résultats"
X_TO_Y_OF_TOTAL_FOR_S,en,"{x:,} - {y:,} from {total:,} results for: {s}"
X_TO_Y_OF_TOTAL_FOR_S,es,"{x:,} - {y:,} de {total:,} resultados para: {s} "
X_TO_Y_OF_TOTAL_FOR_S,he,"‏{x:,} - {y:,} מתוך {total:,} תוצאות עבור: {s}"
X_TO_Y_OF_TOTAL_FOR_S,yi,"{x:,} - {y:,} פון {total:,} תוצאות פאר: {s}"
X_TO_Y_OF_TOTAL_FOR_S,fr,"{x:,} - {y:,} sur {total:,} résultats pour : {s}"
